target,sp_Mn__vs__mln_Mn,sp_Mn__vs__si_Mp,sp_Mn__vs__mln_Mp,sp_Mn__vs__si_Mn,sp_Mn__vs__sp_Mp,sp_Mn__vs__sp_Ame,sp_Mn__vs__pre_inj,mln_Mn__vs__si_Mp,mln_Mn__vs__mln_Mp,mln_Mn__vs__si_Mn,mln_Mn__vs__sp_Mp,mln_Mn__vs__sp_Ame,mln_Mn__vs__pre_inj,si_Mp__vs__mln_Mp,si_Mp__vs__si_Mn,si_Mp__vs__sp_Mp,si_Mp__vs__sp_Ame,si_Mp__vs__pre_inj,mln_Mp__vs__si_Mn,mln_Mp__vs__sp_Mp,mln_Mp__vs__sp_Ame,mln_Mp__vs__pre_inj,si_Mn__vs__sp_Mp,si_Mn__vs__sp_Ame,si_Mn__vs__pre_inj,sp_Mp__vs__sp_Ame,sp_Mp__vs__pre_inj,sp_Ame__vs__pre_inj
Abcb1a,-0.08905704009651212,2.313448571852436,3.318199946837051,-0.054282640586058126,3.8291418406939015,1.1061249225744056,1.3343716397824952,2.8052211420554776,4.136387548363742,-0.0003899119219274238,4.048142073010843,1.4275465439282102,1.531332951474767,0.5413081539344442,-2.7018782103691543,0.6858877376200817,-1.6911542626603135,-1.3599379165551362,-2.9275989768416504,0.14499014274889807,-2.4240738701029554,-2.1686850224744108,2.924436403889917,0.8951247140128997,1.2023501152407483,-3.3678591337463226,-2.3347427452992227,0.4051838984992245
Abcb1b,0.34915210124972446,1.1702924621655215,1.6745880870876013,0.08073043918678054,0.5769862295023267,0.4938769259948253,1.152500361330192,1.127085866296828,1.7193280109757167,-0.16935314102592805,0.2897086720214182,0.25040157447123634,0.9824068627576186,0.269437091587596,-1.2394692343578524,-1.0294436303586931,-0.9129219808241209,-0.21193179270157184,-1.3595293485766489,-1.4139636844600865,-1.286752113441988,-0.5271243403266958,0.3470687759703997,0.29165680863979393,0.9065141236825934,-0.0816458446647066,0.7905778855200919,0.8207626194313075
Ahr,0.9616667178968951,0.9369395535475409,0.5966922291851283,0.9584881358101478,0.08433952648882394,0.06019255316030006,0.18124273936821161,0.3971068036592664,-0.16954792714227898,0.4858914897942253,-0.7620569001061216,-0.884039057107394,-0.5695359696392048,-0.6067165460280864,0.05954963453184137,-1.2063172221409069,-1.0240031151444462,-0.9088344619663535,0.5296437332574847,-0.6368586310258495,-0.5725785756890639,-0.4595062959760682,-0.9458285120791017,-0.9406016970758758,-0.8354312949880596,-0.027549869273393455,0.13090430927950597,0.14690110967719663
Ar,-0.48309008020216737,-0.570064321421032,-0.8023787903908545,0.49393974898009435,0.05416180487235665,-0.5486239382807867,-0.9666633721819916,-0.3171757924000325,-0.5287947979616832,1.017837391784872,0.4828838850312381,-0.18339705287545757,-0.672095772167316,-0.11650601708122635,1.2312971801821784,0.8407085010878586,0.17532728587022695,-0.3007788332470243,1.2323636909336968,1.040244346875741,0.3091605940659347,-0.23821764382897706,-0.4794043836521301,-0.9245245283344714,-1.341114681802263,-0.7819970506807307,-1.2163566297919313,-0.5513208072166084
Blimp,0.28281620826873455,-0.09538294290967496,0.30276424130520513,-0.1922682477666404,0.05218524278119576,-0.013525216425267085,1.5278644309997074,-0.3224144804688211,0.1056144804896517,-0.47051449613927854,-0.19572766780573383,-0.29778633010268896,1.4461412582223592,0.46360027815246796,-0.11749365304179903,0.18430891076703027,0.09777768348809365,1.6340589400902388,-0.4714344292806582,-0.31284154827845684,-0.33394683786042706,1.4672592560145468,0.24147397049072045,0.18757946806638534,1.5112426579316067,-0.08311966991272855,1.7808490048961427,1.7698298564518418
Cd19,0.4078985837880261,0.24420046308928808,0.1411141530308959,0.7629077185012865,-0.0010455724352901286,0.22563351734356832,1.1928868910563903,-0.012973485749414525,-0.20869598893081,0.6671162924311916,-0.36140069649349416,-0.13275430526710222,0.9796944903452606,-0.17405667742716,0.6193167793675893,-0.3377147107168981,-0.08330987392113177,0.9052330400814075,0.7101395782442185,-0.1736438704879876,0.07287253554632622,1.253204580961465,-0.8038817276386883,-0.6138240634635252,0.2358052790569578,0.2949599006026678,1.433371377596218,1.1408399910906073
Cd8a,0.10999776597236993,0.8570353743308892,0.4333573204911029,1.2652156307544784,0.16297005170326867,0.41468200145778655,0.824836330701044,0.9333072626402323,0.42658475889065345,1.5505597771321127,0.07177622110259735,0.392507498428284,0.8147994595636381,-0.6792779095462829,0.5116147664078278,-1.0165839016419735,-0.622208711897598,-0.17431331530182914,1.0053934625269634,-0.3509302492176527,-0.050343385779361635,0.4871805648815185,-1.2098356444360314,-0.9872528771153177,-0.5997566015360163,0.3350758774176799,0.8228218477159669,0.5249601178799587
Creb,0.40208804633378237,0.04402040143567261,0.13943059823787698,0.20852688129684321,-0.02072208346601666,0.11345920029376383,-0.2919771354857304,-0.2456946733716932,-0.20532413133679786,-0.04553292661610991,-0.3766655870267746,-0.26275619938949435,-0.6405745476653848,0.09463543820952151,0.1951946435294046,-0.08165831974600231,0.048628374777389204,-0.3422638819130272,0.1069163798584989,-0.19317392072713493,-0.03586634691614389,-0.5032907471018863,-0.23502925011380457,-0.12848483166548413,-0.46643288973974134,0.17367584422408663,-0.32927089170222806,-0.4513303103378404
Dmrta1,1.0947706440450165,0.48404593502890214,0.6247417189793516,0.019286105409598287,0.42662319190058545,0.6845343972240264,1.4047743778704251,-0.23773280118321882,-0.25963383661619127,-0.8335356562342734,-0.5248063181101382,-0.2607362709333914,0.663111826303193,0.03639822331853483,-0.5292566016368656,-0.23555175241412687,0.04236074639165286,0.837562240162477,-0.5190170914811357,-0.2956107966429535,0.012861463731665653,0.957727495890804,0.29915696033539124,0.49954298882256915,1.186752512531925,0.3552600062430313,1.2480779404219862,0.9162034321349499
Eomes,-0.2924009505359359,-0.5513792184445171,0.17380461582672724,-0.03985130610937506,-0.17031350972704842,0.029395592441564523,0.7368288812904673,-0.4362906071264703,0.4854697039527981,0.17773616492016728,0.08173686558301894,0.3265341789061898,1.0397993263114256,0.9373453996277628,0.5818352363182167,0.5877722410613512,0.6592943301120301,1.3757215633729645,-0.1937109329912556,-0.3993161173498194,-0.1550928563359978,0.6762007712519186,-0.08558147876830986,0.06331031380739457,0.6741408221969858,0.2520815088332057,1.0598159090955588,0.816875769310501
Esr1,0.6300956012505519,0.9945547431742554,1.9993992541988257,-0.04587546695178897,0.9061463234289578,0.6912425134028071,-0.38878440342756393,0.710913695851308,1.8536223830349883,-0.5534513678373068,0.38276078558040577,0.20975563722386698,-0.9285718656001025,0.8660121881938995,-1.1880649994956798,-0.4540488343364328,-0.5383991950571642,-1.5440978072453022,-1.7784023318197424,-1.4498732458870445,-1.4362622790924713,-2.7193041991816225,0.7268223496013504,0.5716832118907723,-0.286526928567863,-0.23804115733856543,-1.3984638274276706,-1.1520440984407698
Esr2,-0.42265342711356085,-0.8775627817212694,-0.983623551642884,0.4102014663793413,-1.550929971789089,-0.2788577294759514,-0.4301530428432112,-0.7260360276438181,-0.806646841402417,0.8621120904283314,-1.234418536779897,0.08300971216261235,-0.13324210996119665,0.09873931397730883,1.4833925405830406,-0.35978066227386696,0.7645656887753209,0.5916472257679217,1.297703610639854,-0.49922427257428703,0.7668868650163493,0.6018940358909586,-1.5931610629120876,-0.633674660166127,-0.7936656134239335,1.5842453576993563,1.0780998109563706,-0.2099026607700751
